Year,Category,Subtype,Count,Cleared,ClearRate
2020,Crimes Against Property,Break & Enter-House,12,0,0.0
2021,Other Federal Statute Violations,Other,3,0,0.0
2021,Crimes Against Property,Break & Enter-Other,2,0,0.0
2014,Crimes Against Property,Fraud,6,0,0.0
2021,Crimes Against Property,Theft Over $5000,2,0,0.0
2021,Crimes Against Property,Auto Theft,3,0,0.0
2019,Crimes Against Property,Theft Under $5000,1,0,0.0
2017,Crimes Against the Person,Sexual Violation,1,0,0.0
2020,Crimes Against Property,Break & Enter-Other,7,0,0.0
2014,Crimes Against the Person,Other,1,0,0.0
2017,Crimes Against Property,Theft Over $5000,1,0,0.0
2021,Crimes Against Property,Theft Over $5000,1,0,0.0
2023,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2018,Crimes Against Property,Break & Enter-Other,1,0,0.0
2019,Crimes Against Property,Break & Enter-Other,3,0,0.0
2015,Crimes Against Property,Theft Over $5000,2,0,0.0
2014,Crimes Against Property,Theft Over $5000,1,0,0.0
2019,Crimes Against the Person,Robbery-Financial,5,0,0.0
2020,Crimes Against Property,Auto Theft,4,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,10,0,0.0
2019,Crimes Against Property,Other,1,0,0.0
2018,Crimes Against Property,Break & Enter-Other,4,0,0.0
2017,Crimes Against Property,Theft Over $5000,1,0,0.0
2018,Crimes Against Property,Break & Enter-Other,2,0,0.0
2018,Crimes Against Property,Break & Enter-Commercial,8,0,0.0
2020,Crimes Against the Person,Assault,1,0,0.0
2016,Crimes Against Property,Auto Theft,14,0,0.0
2016,Crimes Against Property,Break & Enter-Other,2,0,0.0
2023,Crimes Against the Person,Attempt Murder,2,0,0.0
2014,Crimes Against Property,Other,1,0,0.0
2020,Crimes Against the Person,Robbery-Financial,2,0,0.0
2014,Crimes Against Property,Break & Enter-House,1,0,0.0
2020,Crimes Against the Person,Robbery-Financial,1,0,0.0
2014,Crimes Against the Person,Robbery-Other,1,0,0.0
2023,Crimes Against Property,Theft Over $5000,1,0,0.0
2020,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2018,Crimes Against the Person,Attempt Murder,1,0,0.0
2016,Crimes Against Property,Break & Enter-Other,3,0,0.0
2022,Crimes Against the Person,Sexual Violation,3,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2016,Crimes Against Property,Theft Over $5000,2,0,0.0
2015,Crimes Against the Person,Robbery-Other,1,0,0.0
2020,Crimes Against Property,Break & Enter-Commercial,2,0,0.0
2017,Crimes Against Property,Theft Under $5000,1,0,0.0
2020,Other Federal Statute Violations,Other,1,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2015,Crimes Against Property,Break & Enter-Other,1,0,0.0
2019,Crimes Against Property,Theft Under $5000,2,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2020,Crimes Against Property,Theft Under $5000,3,0,0.0
2015,Crimes Against Property,Theft Over $5000,1,0,0.0
2021,Crimes Against Property,Break & Enter-Commercial,2,0,0.0
2018,Crimes Against Property,Break & Enter-Commercial,4,0,0.0
2015,Crimes Against Property,Fraud,1,0,0.0
2023,Crimes Against Property,Theft Over $5000,1,0,0.0
2014,Crimes Against Property,Theft Over $5000,1,0,0.0
2018,Other Federal Statute Violations,Other,1,0,0.0
2023,Crimes Against Property,Theft Over $5000,4,0,0.0
2018,Crimes Against Property,Break & Enter-Apartment,5,0,0.0
2016,Crimes Against Property,Theft Over $5000,1,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2018,Crimes Against Property,Other,3,0,0.0
2016,Crimes Against Property,Break & Enter-Other,1,0,0.0
2015,Crimes Against Property,Break & Enter-Commercial,2,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2022,Crimes Against Property,Break & Enter-Other,1,0,0.0
2022,Crimes Against the Person,Sexual Violation,2,0,0.0
2018,Crimes Against Property,Theft Over $5000,3,0,0.0
2023,Crimes Against Property,Break & Enter-Other,2,0,0.0
2021,Crimes Against the Person,Robbery-Other,3,0,0.0
2020,Crimes Against Property,Theft Over $5000,2,0,0.0
2017,Crimes Against Property,Theft Over $5000,1,0,0.0
2019,Crimes Against Property,Break & Enter-Commercial,5,0,0.0
2021,Other Federal Statute Violations,Other,1,0,0.0
2015,Crimes Against Property,Auto Theft,14,0,0.0
2015,Other Federal Statute Violations,Other,1,0,0.0
2020,Crimes Against Property,Break & Enter-Apartment,3,0,0.0
2018,Crimes Against Property,Break & Enter-House,15,0,0.0
2014,Crimes Against Property,Break & Enter-Other,3,0,0.0
2019,Crimes Against Property,Theft Over $5000,3,0,0.0
2021,Crimes Against Property,Break & Enter-Commercial,18,0,0.0
2020,Crimes Against the Person,Sexual Violation,1,0,0.0
2017,Crimes Against the Person,Assault,1,0,0.0
2015,Crimes Against Property,Break & Enter-Other,1,0,0.0
2023,Crimes Against Property,Auto Theft,2,0,0.0
2019,Crimes Against Property,Break & Enter-House,6,0,0.0
2019,Crimes Against Property,Break & Enter-House,3,0,0.0
2021,Crimes Against the Person,Robbery-Other,1,0,0.0
2018,Crimes Against Property,Auto Theft,11,0,0.0
2016,Crimes Against the Person,Attempt Murder,2,0,0.0
2020,Crimes Against Property,Break & Enter-House,6,0,0.0
2014,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2016,Crimes Against Property,Theft Under $5000,1,0,0.0
2016,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2015,Crimes Against Property,Fraud,3,0,0.0
2020,Crimes Against Property,Break & Enter-Other,1,0,0.0
2014,Crimes Against Property,Theft Over $5000,6,0,0.0
2018,Crimes Against Property,Break & Enter-Commercial,3,0,0.0
2023,Crimes Against Property,Theft Under $5000,2,0,0.0
2016,Crimes Against Property,Break & Enter-Other,1,0,0.0
2021,Crimes Against Property,Auto Theft,30,0,0.0
2014,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2022,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2016,Crimes Against Property,Break & Enter-House,9,0,0.0
2018,Crimes Against Property,Theft Under $5000,8,0,0.0
2020,Crimes Against Property,Theft Over $5000,10,0,0.0
2014,Crimes Against Property,Break & Enter-Other,3,0,0.0
2023,Crimes Against the Person,Assault,2,0,0.0
2022,Crimes Against Property,Fraud,4,0,0.0
2021,Crimes Against the Person,Sexual Violation,2,0,0.0
2017,Crimes Against Property,Auto Theft,33,0,0.0
2016,Crimes Against Property,Theft Over $5000,1,0,0.0
2018,Crimes Against Property,Break & Enter-Commercial,4,0,0.0
2019,Crimes Against Property,Theft Over $5000,4,0,0.0
2014,Crimes Against Property,Auto Theft,11,0,0.0
2022,Crimes Against Property,Auto Theft,27,0,0.0
2019,Crimes Against Property,Theft Over $5000,1,0,0.0
2016,Crimes Against Property,Other,1,0,0.0
2016,Crimes Against Property,Break & Enter-Apartment,7,0,0.0
2021,Crimes Against Property,Theft Over $5000,1,0,0.0
2022,Crimes Against Property,Break & Enter-House,6,0,0.0
2015,Crimes Against Property,Break & Enter-House,1,0,0.0
2022,Crimes Against Property,Break & Enter-House,1,0,0.0
2016,Crimes Against Property,Fraud,1,0,0.0
2021,Crimes Against Property,Fraud,8,0,0.0
2014,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2017,Crimes Against Property,Auto Theft,4,0,0.0
2016,Crimes Against Property,Theft Over $5000,2,0,0.0
2022,Crimes Against Property,Theft Under $5000,1,0,0.0
2014,Crimes Against Property,Theft Over $5000,1,0,0.0
2017,Crimes Against Property,Other,1,0,0.0
2016,Crimes Against the Person,Assault,1,0,0.0
2021,Crimes Against the Person,Other,1,0,0.0
2019,Crimes Against Property,Other,1,0,0.0
2017,Crimes Against Property,Theft Over $5000,1,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2014,Crimes Against the Person,Sexual Violation,1,0,0.0
2015,Crimes Against Property,Auto Theft,1,0,0.0
2020,Crimes Against Property,Break & Enter-House,1,0,0.0
2017,Crimes Against the Person,Other,1,0,0.0
2019,Crimes Against Property,Break & Enter-Other,1,0,0.0
2015,Crimes Against Property,Break & Enter-Apartment,12,0,0.0
2018,Crimes Against Property,Theft Under $5000,3,0,0.0
2017,Crimes Against the Person,Assault,1,0,0.0
2019,Crimes Against the Person,Assault,2,0,0.0
2023,Crimes Against the Person,Robbery-Other,2,0,0.0
2015,Crimes Against Property,Theft Over $5000,2,0,0.0
2023,Crimes Against the Person,Sexual Violation,9,0,0.0
2019,Crimes Against Property,Break & Enter-Commercial,11,0,0.0
2023,Crimes Against Property,Fraud,27,0,0.0
2016,Crimes Against Property,Theft Over $5000,7,0,0.0
2018,Crimes Against Property,Other,2,0,0.0
2022,Crimes Against the Person,Robbery-Other,1,0,0.0
2017,Crimes Against Property,Other,1,0,0.0
2021,Crimes Against Property,Theft Over $5000,5,0,0.0
2021,Crimes Against Property,Theft Over $5000,1,0,0.0
2022,Crimes Against Property,Break & Enter-House,25,0,0.0
2020,Crimes Against Property,Break & Enter-House,1,0,0.0
2020,Crimes Against Property,Break & Enter-Apartment,4,0,0.0
2020,Crimes Against Property,Break & Enter-Commercial,2,0,0.0
2019,Crimes Against Property,Theft Over $5000,2,0,0.0
2021,Crimes Against the Person,Sexual Violation,3,0,0.0
2023,Crimes Against the Person,Robbery-Other,9,0,0.0
2020,Crimes Against Property,Break & Enter-Other,1,0,0.0
2018,Crimes Against Property,Break & Enter-Other,2,0,0.0
2022,Crimes Against the Person,Robbery-Other,1,0,0.0
2015,Crimes Against Property,Theft Over $5000,14,0,0.0
2015,Crimes Against Property,Other,7,0,0.0
2017,Crimes Against Property,Theft Over $5000,3,0,0.0
2017,Crimes Against Property,Break & Enter-Commercial,3,0,0.0
2015,Crimes Against Property,Break & Enter-Other,2,0,0.0
2018,Crimes Against Property,Break & Enter-House,2,0,0.0
2015,Crimes Against Property,Theft Over $5000,1,0,0.0
2016,Crimes Against Property,Break & Enter-Apartment,4,0,0.0
2017,Crimes Against the Person,Sexual Violation,1,0,0.0
2016,Crimes Against the Person,Robbery-Financial,1,0,0.0
2014,Crimes Against the Person,Sexual Violation,2,0,0.0
2018,Crimes Against the Person,Attempt Murder,1,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,3,0,0.0
2017,Crimes Against the Person,Sexual Violation,1,0,0.0
2020,Crimes Against the Person,Robbery-Other,6,0,0.0
2016,Crimes Against Property,Theft Under $5000,1,0,0.0
2014,Crimes Against Property,Break & Enter-Other,2,0,0.0
2017,Crimes Against Property,Theft Over $5000,2,0,0.0
2020,Crimes Against Property,Other,1,0,0.0
2017,Crimes Against Property,Break & Enter-Other,2,0,0.0
2020,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2023,Crimes Against the Person,Sexual Violation,1,0,0.0
2014,Crimes Against Property,Break & Enter-House,27,0,0.0
2023,Crimes Against Property,Break & Enter-House,4,0,0.0
2018,Crimes Against Property,Theft Under $5000,1,0,0.0
2022,Crimes Against Property,Fraud,1,0,0.0
2015,Crimes Against Property,Auto Theft,16,0,0.0
2017,Controlled Drugs and Substances Act,Other,1,0,0.0
2015,Crimes Against Property,Theft Under $5000,1,0,0.0
2018,Crimes Against Property,Fraud,1,0,0.0
2022,Crimes Against the Person,Assault,1,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,7,0,0.0
2015,Crimes Against Property,Other,1,0,0.0
2017,Crimes Against Property,Break & Enter-House,12,0,0.0
2014,Crimes Against Property,Theft Over $5000,4,0,0.0
2020,Crimes Against the Person,Robbery-Financial,3,0,0.0
2019,Crimes Against Property,Break & Enter-Apartment,5,0,0.0
2020,Crimes Against Property,Break & Enter-Other,2,0,0.0
2016,Crimes Against Property,Break & Enter-Other,3,0,0.0
2016,Crimes Against Property,Break & Enter-Commercial,5,0,0.0
2018,Crimes Against Property,Theft Under $5000,1,0,0.0
2015,Crimes Against Property,Theft Over $5000,5,0,0.0
2017,Crimes Against the Person,Robbery-Other,6,0,0.0
2015,Crimes Against Property,Break & Enter-Other,2,0,0.0
2020,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2016,Crimes Against Property,Fraud,1,0,0.0
2017,Crimes Against Property,Theft Under $5000,1,0,0.0
2015,Crimes Against Property,Theft Over $5000,4,0,0.0
2017,Crimes Against Property,Theft Under $5000,1,0,0.0
2015,Crimes Against Property,Break & Enter-Other,2,0,0.0
2014,Crimes Against the Person,Sexual Violation,1,0,0.0
2019,Crimes Against the Person,Attempt Murder,2,0,0.0
2014,Crimes Against Property,Break & Enter-Other,1,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,3,0,0.0
2014,Crimes Against Property,Other,1,0,0.0
2016,Crimes Against Property,Fraud,1,0,0.0
2021,Crimes Against the Person,Assault,1,0,0.0
2015,Crimes Against Property,Theft Over $5000,1,0,0.0
2014,Crimes Against Property,Break & Enter-Other,1,0,0.0
2021,Crimes Against the Person,Sexual Violation,1,0,0.0
2018,Crimes Against Property,Break & Enter-House,2,0,0.0
2016,Crimes Against Property,Theft Under $5000,1,0,0.0
2015,Crimes Against Property,Auto Theft,1,0,0.0
2021,Crimes Against Property,Break & Enter-House,15,0,0.0
2018,Crimes Against Property,Break & Enter-Apartment,15,0,0.0
2021,Crimes Against the Person,Other,4,0,0.0
2017,Crimes Against Property,Break & Enter-Other,1,0,0.0
2018,Crimes Against Property,Theft Over $5000,4,0,0.0
2019,Crimes Against Property,Break & Enter-Apartment,5,0,0.0
2021,Crimes Against Property,Break & Enter-House,1,0,0.0
2014,Crimes Against Property,Theft Over $5000,4,0,0.0
2017,Crimes Against Property,Fraud,32,0,0.0
2020,Crimes Against Property,Theft Under $5000,2,0,0.0
2018,Crimes Against Property,Fraud,1,0,0.0
2018,Crimes Against Property,Break & Enter-Other,3,0,0.0
2015,Other Criminal Code Violations,Other,1,0,0.0
2022,Crimes Against Property,Break & Enter-Commercial,4,0,0.0
2016,Crimes Against the Person,Sexual Violation,1,0,0.0
2015,Crimes Against Property,Fraud,1,0,0.0
2018,Crimes Against Property,Break & Enter-House,10,0,0.0
2023,Crimes Against Property,Other,7,0,0.0
2014,Crimes Against Property,Other,2,0,0.0
2023,Crimes Against Property,Auto Theft,10,0,0.0
2018,Crimes Against Property,Theft Over $5000,1,0,0.0
2015,Crimes Against the Person,Robbery-Financial,1,0,0.0
2022,Crimes Against Property,Break & Enter-House,1,0,0.0
2019,Crimes Against Property,Theft Under $5000,1,0,0.0
2023,Crimes Against Property,Break & Enter-Other,1,0,0.0
2014,Crimes Against Property,Auto Theft,9,0,0.0
2020,Crimes Against Property,Auto Theft,2,0,0.0
2015,Crimes Against Property,Break & Enter-Commercial,7,0,0.0
2016,Crimes Against Property,Fraud,1,0,0.0
2021,Crimes Against Property,Break & Enter-House,2,0,0.0
2022,Crimes Against Property,Break & Enter-Commercial,2,0,0.0
2020,Crimes Against Property,Break & Enter-House,1,0,0.0
2018,Crimes Against Property,Break & Enter-Commercial,3,0,0.0
2016,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2021,Other Federal Statute Violations,Other,1,0,0.0
2023,Crimes Against Property,Theft Over $5000,2,0,0.0
2016,Crimes Against the Person,Attempt Murder,1,0,0.0
2019,Crimes Against Property,Theft Over $5000,3,0,0.0
2023,Crimes Against Property,Auto Theft,45,0,0.0
2020,Crimes Against Property,Break & Enter-Commercial,4,0,0.0
2016,Crimes Against Property,Theft Under $5000,1,0,0.0
2021,Crimes Against Property,Break & Enter-Other,1,0,0.0
2015,Crimes Against Property,Theft Over $5000,3,0,0.0
2022,Crimes Against Property,Fraud,12,0,0.0
2015,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2016,Crimes Against Property,Auto Theft,3,0,0.0
2015,Crimes Against the Person,Sexual Violation,2,0,0.0
2021,Crimes Against Property,Break & Enter-House,5,0,0.0
2019,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2020,Crimes Against the Person,Robbery-Other,1,0,0.0
2022,Crimes Against Property,Fraud,43,0,0.0
2020,Crimes Against Property,Break & Enter-Other,1,0,0.0
2018,Crimes Against Property,Break & Enter-Other,1,0,0.0
2016,Crimes Against Property,Theft Over $5000,3,0,0.0
2021,Crimes Against Property,Auto Theft,1,0,0.0
2014,Crimes Against Property,Fraud,1,0,0.0
2018,Crimes Against Property,Break & Enter-House,4,0,0.0
2022,Crimes Against Property,Theft Over $5000,1,0,0.0
2016,Crimes Against Property,Theft Over $5000,7,0,0.0
2018,Crimes Against Property,Fraud,1,0,0.0
2018,Crimes Against Property,Break & Enter-House,4,0,0.0
2017,Crimes Against Property,Theft Over $5000,1,0,0.0
2020,Crimes Against Property,Break & Enter-Other,4,0,0.0
2020,Crimes Against Property,Other,3,0,0.0
2015,Crimes Against Property,Auto Theft,20,0,0.0
2017,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2019,Crimes Against Property,Break & Enter-House,26,0,0.0
2016,Crimes Against Property,Break & Enter-Other,3,0,0.0
2021,Crimes Against Property,Break & Enter-House,11,0,0.0
2018,Crimes Against Property,Theft Over $5000,3,0,0.0
2017,Other Federal Statute Violations,Other,2,0,0.0
2023,Crimes Against Property,Other,24,0,0.0
2021,Crimes Against Property,Theft Over $5000,3,0,0.0
2020,Crimes Against Property,Break & Enter-Other,2,0,0.0
2018,Crimes Against the Person,Assault,1,0,0.0
2014,Crimes Against the Person,Robbery-Other,2,0,0.0
2018,Crimes Against Property,Break & Enter-Other,3,0,0.0
2016,Crimes Against Property,Auto Theft,3,0,0.0
2022,Crimes Against Property,Auto Theft,13,0,0.0
2023,Crimes Against the Person,Sexual Violation,1,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2015,Crimes Against Property,Break & Enter-Other,5,0,0.0
2016,Crimes Against Property,Break & Enter-House,12,0,0.0
2015,Crimes Against the Person,Robbery-Other,1,0,0.0
2018,Crimes Against Property,Break & Enter-House,2,0,0.0
2019,Crimes Against Property,Fraud,1,0,0.0
2016,Crimes Against Property,Break & Enter-Other,1,0,0.0
2021,Crimes Against Property,Theft Under $5000,85,0,0.0
2021,Crimes Against Property,Theft Under $5000,1,0,0.0
2014,Crimes Against Property,Break & Enter-Commercial,2,0,0.0
2016,Crimes Against Property,Break & Enter-House,5,0,0.0
2014,Crimes Against Property,Break & Enter-Other,2,0,0.0
2019,Crimes Against Property,Break & Enter-Apartment,3,0,0.0
2017,Crimes Against Property,Other,1,0,0.0
2022,Crimes Against Property,Fraud,20,0,0.0
2018,Crimes Against Property,Auto Theft,7,0,0.0
2018,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2022,Crimes Against Property,Theft Under $5000,1,0,0.0
2023,Crimes Against Property,Theft Over $5000,1,0,0.0
2017,Crimes Against the Person,Assault,1,0,0.0
2018,Crimes Against the Person,Robbery-Other,1,0,0.0
2016,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,0,0.0
2021,Crimes Against the Person,Sexual Violation,1,0,0.0
2021,Crimes Against Property,Theft Over $5000,6,0,0.0
2016,Crimes Against Property,Break & Enter-Other,1,0,0.0
2016,Crimes Against Property,Theft Over $5000,1,0,0.0
2016,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2017,Crimes Against the Person,Sexual Violation,1,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2020,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2018,Crimes Against Property,Break & Enter-Other,5,0,0.0
2023,Crimes Against Property,Fraud,13,0,0.0
2015,Crimes Against Property,Break & Enter-Apartment,4,0,0.0
2014,Crimes Against Property,Fraud,5,0,0.0
2014,Crimes Against Property,Auto Theft,10,0,0.0
2018,Crimes Against Property,Break & Enter-House,17,0,0.0
2019,Crimes Against the Person,Sexual Violation,1,0,0.0
2021,Crimes Against Property,Theft Under $5000,4,0,0.0
2020,Crimes Against Property,Fraud,29,0,0.0
2023,Crimes Against Property,Auto Theft,32,0,0.0
2021,Crimes Against Property,Auto Theft,23,0,0.0
2019,Crimes Against Property,Break & Enter-Other,2,0,0.0
2022,Crimes Against Property,Break & Enter-Other,2,0,0.0
2016,Crimes Against Property,Theft Under $5000,1,0,0.0
2016,Crimes Against Property,Break & Enter-House,11,0,0.0
2020,Crimes Against Property,Theft Over $5000,2,0,0.0
2023,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2020,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2021,Crimes Against Property,Break & Enter-Commercial,17,0,0.0
2016,Crimes Against Property,Auto Theft,5,0,0.0
2021,Criminal Code Traffic,Other,1,0,0.0
2019,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2021,Crimes Against Property,Auto Theft,14,0,0.0
2023,Crimes Against Property,Break & Enter-House,7,0,0.0
2016,Crimes Against Property,Auto Theft,28,0,0.0
2020,Crimes Against the Person,Other,4,0,0.0
2018,Crimes Against Property,Break & Enter-House,5,0,0.0
2016,Crimes Against the Person,Sexual Violation,1,0,0.0
2016,Crimes Against Property,Theft Over $5000,4,0,0.0
2021,Crimes Against Property,Auto Theft,2,0,0.0
2018,Crimes Against Property,Theft Over $5000,2,0,0.0
2023,Other Criminal Code Violations,Other,1,0,0.0
2020,Crimes Against Property,Break & Enter-House,10,0,0.0
2017,Crimes Against Property,Fraud,1,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,3,0,0.0
2014,Crimes Against Property,Break & Enter-Other,2,0,0.0
2018,Crimes Against Property,Break & Enter-Other,2,0,0.0
2019,Crimes Against Property,Theft Over $5000,1,0,0.0
2017,Crimes Against Property,Break & Enter-Other,2,0,0.0
2018,Crimes Against the Person,Sexual Violation,1,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2021,Crimes Against Property,Theft Over $5000,2,0,0.0
2019,Crimes Against Property,Theft Under $5000,1,0,0.0
2016,Crimes Against Property,Break & Enter-Other,4,0,0.0
2014,Other Criminal Code Violations,Other,1,0,0.0
2015,Crimes Against Property,Break & Enter-Apartment,3,0,0.0
2018,Crimes Against Property,Theft Over $5000,3,0,0.0
2017,Crimes Against Property,Auto Theft,1,0,0.0
2022,Crimes Against Property,Auto Theft,11,0,0.0
2018,Crimes Against Property,Break & Enter-Apartment,16,0,0.0
2014,Crimes Against Property,Break & Enter-Other,2,0,0.0
2021,Crimes Against the Person,Sexual Violation,1,0,0.0
2019,Crimes Against the Person,Sexual Violation,1,0,0.0
2016,Crimes Against the Person,Sexual Violation,1,0,0.0
2021,Crimes Against Property,Theft Over $5000,2,0,0.0
2019,Crimes Against Property,Theft Over $5000,6,0,0.0
2018,Crimes Against Property,Break & Enter-House,13,0,0.0
2023,Crimes Against Property,Theft Over $5000,2,0,0.0
2022,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2015,Crimes Against Property,Auto Theft,7,0,0.0
2023,Crimes Against Property,Auto Theft,1,0,0.0
2020,Crimes Against Property,Auto Theft,4,0,0.0
2018,Crimes Against the Person,Robbery-Other,1,0,0.0
2017,Crimes Against Property,Theft Over $5000,6,0,0.0
2016,Crimes Against Property,Theft Over $5000,5,0,0.0
2014,Crimes Against the Person,Assault,1,0,0.0
2014,Crimes Against Property,Auto Theft,1,0,0.0
2020,Crimes Against Property,Break & Enter-Other,1,0,0.0
2022,Crimes Against Property,Theft Under $5000,7,0,0.0
2019,Crimes Against Property,Theft Over $5000,1,0,0.0
2021,Crimes Against Property,Break & Enter-Apartment,8,0,0.0
2019,Crimes Against Property,Break & Enter-Commercial,10,0,0.0
2020,Crimes Against Property,Theft Under $5000,1,0,0.0
2019,Crimes Against Property,Theft Over $5000,3,0,0.0
2022,Crimes Against Property,Theft Over $5000,1,0,0.0
2021,Crimes Against the Person,Assault,1,0,0.0
2022,Crimes Against Property,Theft Under $5000,1,0,0.0
2015,Crimes Against Property,Auto Theft,9,0,0.0
